"name","id"
"Melastoma candidum shaft and root","ev:E00749"
"Melia bark","ev:E00265"
"Melia fruit","ev:E00317"
"Meliae fructus","ev:E00317"
"Melilot","ev:E00823"
"Melilot extract","ev:E00016"
"Melilotus suaveolens fruit","ev:E00710"
"Menispermum dauricum rhizome","ev:E00665"
"Mentha herb","ev:E00045"
"Mentha oil","ev:E00048"
"Mica mineral clay","ev:E00541"
"Milfoil","ev:E00824"
"Milk","ev:E00842"
"Milk thistle","ev:E00822"
"Millettia dielsiana stem","ev:E00640"
"Millettia nitida stem","ev:E00639"
"Mistletoe","ev:E00821"
"Momordica cochinchinensis seed","ev:E00435"
"Momordica grosvenori fruit","ev:E00463"
"Momordicae fructus","ev:E00463"
"Momordicae semen","ev:E00435"
"Monodon monoceros maxillary incisor","ev:E00643"
"Mori fructus","ev:E00456"
"Morinda root","ev:E00304"
"Morus alba shoot","ev:E00394"
"Morus alba syncarp","ev:E00456"
"Morus leaf","ev:E00366"
"Moutan bark","ev:E00158"
"Mulberry","ev:E00819"
"Mulberry bark","ev:E00124"
"Mullein","ev:E00820"
"Mume flos","ev:E00488"
"Mume fructus","ev:E00218"
"Musk","ev:E00278"
"Mussaenda root","ev:E00608"
"Mylabris","ev:E00532"
"Myrica bark","ev:E00212"
"Myrica rubra bark","ev:E00212"
"Myricae cortex","ev:E00212"
"Myricae cortex pulveratus","ev:E00212"
"Myristicae semen","ev:E00219"
"Myrobalan","ev:E00206"
"Myrobalan fruit","ev:E00206"
"Myrrh","ev:E00313"
"Myrrh oil","ev:E00677"
"Nandina fruit","ev:E00217"
"Nandinae fructus","ev:E00217"
"Nardostachys root","ev:E00262"
"Nardostachytis rhizoma","ev:E00262"
"Natto","ev:E00857"
"Neem","ev:E00793"
"Nelumbinis stamen","ev:E00494"
"Nelumbo leaf","ev:E00367"
"Nelumbo nucifera stamen","ev:E00494"
"Nelumbo seed","ev:E00171"
"Neroli oil","ev:E00553"
"Nettle","ev:E00795"
"Ningpo figwort root","ev:E00204"
